Date,SP500,NASDAQ,DXY,GOLD,VIX
2020-01-02,3257.85009765625,9092.1904296875,96.8499984741211,1524.5,12.470000267028809
2020-01-03,3234.85009765625,9020.76953125,96.83999633789062,1549.199951171875,14.020000457763672
2020-01-06,3246.280029296875,9071.4697265625,96.66999816894531,1566.199951171875,13.850000381469727
2020-01-07,3237.179931640625,9068.580078125,96.9800033569336,1571.800048828125,13.789999961853027
2020-01-08,3253.050048828125,9129.240234375,97.30000305175781,1557.4000244140625,13.449999809265137
2020-01-09,3274.699951171875,9203.4296875,97.44999694824219,1551.699951171875,12.539999961853027
2020-01-10,3265.35009765625,9178.8603515625,97.36000061035156,1557.5,12.5600004196167
2020-01-13,3288.1298828125,9273.9296875,97.3499984741211,1548.4000244140625,12.319999694824219
2020-01-14,3283.14990234375,9251.330078125,97.37000274658203,1542.4000244140625,12.390000343322754
2020-01-15,3289.2900390625,9258.7001953125,97.2300033569336,1552.0999755859375,12.420000076293945
2020-01-16,3316.81005859375,9357.1298828125,97.31999969482422,1549.0,12.319999694824219
2020-01-17,3329.6201171875,9388.9404296875,97.61000061035156,1558.800048828125,12.100000381469727
2020-01-21,3320.7900390625,9370.8095703125,97.52999877929688,1556.4000244140625,12.850000381469727
2020-01-22,3321.75,9383.76953125,97.52999877929688,1555.300048828125,12.90999984741211
2020-01-23,3325.5400390625,9402.48046875,97.69000244140625,1564.5999755859375,12.979999542236328
2020-01-24,3295.469970703125,9314.91015625,97.8499984741211,1571.0999755859375,14.5600004196167
2020-01-27,3243.6298828125,9139.3095703125,97.95999908447266,1576.800048828125,18.229999542236328
2020-01-28,3276.239990234375,9269.6796875,98.0199966430664,1569.199951171875,16.280000686645508
2020-01-29,3273.39990234375,9275.16015625,97.98999786376953,1569.800048828125,16.389999389648438
2020-01-30,3283.659912109375,9298.9296875,97.87000274658203,1583.5,15.489999771118164
2020-01-31,3225.52001953125,9150.9404296875,97.38999938964844,1582.9000244140625,18.84000015258789
2020-02-03,3248.919921875,9273.400390625,97.80000305175781,1577.199951171875,17.969999313354492
2020-02-04,3297.590087890625,9467.9697265625,97.95999908447266,1550.4000244140625,16.049999237060547
2020-02-05,3334.68994140625,9508.6796875,98.2699966430664,1557.800048828125,15.149999618530273
2020-02-06,3345.780029296875,9572.150390625,98.5,1565.0999755859375,14.960000038146973
2020-02-07,3327.7099609375,9520.509765625,98.68000030517578,1568.5999755859375,15.470000267028809
2020-02-10,3352.090087890625,9628.3896484375,98.83000183105469,1574.699951171875,15.039999961853027
2020-02-11,3357.75,9638.9404296875,98.72000122070312,1565.5999755859375,15.180000305175781
2020-02-12,3379.449951171875,9725.9599609375,99.05000305175781,1567.4000244140625,13.739999771118164
2020-02-13,3373.93994140625,9711.9697265625,99.06999969482422,1575.0999755859375,14.149999618530273
2020-02-14,3380.159912109375,9731.1796875,99.12000274658203,1582.699951171875,13.680000305175781
2020-02-18,3370.2900390625,9732.740234375,99.45999908447266,1600.0,14.829999923706055
2020-02-19,3386.14990234375,9817.1796875,99.5999984741211,1607.5,14.380000114440918
2020-02-20,3373.22998046875,9750.9697265625,99.87000274658203,1616.5999755859375,15.5600004196167
2020-02-21,3337.75,9576.58984375,99.26000213623047,1644.5999755859375,17.079999923706055
2020-02-24,3225.889892578125,9221.2802734375,99.29000091552734,1672.4000244140625,25.030000686645508
2020-02-25,3128.2099609375,8965.6103515625,98.97000122070312,1646.9000244140625,27.850000381469727
2020-02-26,3116.389892578125,8980.7802734375,99.0,1640.0,27.559999465942383
2020-02-27,2978.760009765625,8566.48046875,98.44000244140625,1640.0,39.15999984741211
2020-02-28,2954.219970703125,8567.3701171875,98.12999725341797,1564.0999755859375,40.11000061035156
2020-03-02,3090.22998046875,8952.169921875,97.36000061035156,1592.300048828125,33.41999816894531
2020-03-03,3003.3701171875,8684.08984375,97.1500015258789,1642.0999755859375,36.81999969482422
2020-03-04,3130.1201171875,9018.08984375,97.33999633789062,1641.0999755859375,31.989999771118164
2020-03-05,3023.93994140625,8738.58984375,96.81999969482422,1666.4000244140625,39.619998931884766
2020-03-06,2972.3701171875,8575.6201171875,95.94999694824219,1670.800048828125,41.939998626708984
2020-03-09,2746.56005859375,7950.68017578125,94.9000015258789,1674.5,54.459999084472656
2020-03-10,2882.22998046875,8344.25,96.41000366210938,1659.0999755859375,47.29999923706055
2020-03-11,2741.3798828125,7952.0498046875,96.51000213623047,1641.4000244140625,53.900001525878906
2020-03-12,2480.639892578125,7201.7998046875,97.47000122070312,1589.300048828125,75.47000122070312
2020-03-13,2711.02001953125,7874.8798828125,98.75,1515.699951171875,57.83000183105469
2020-03-16,2386.1298828125,6904.58984375,98.08999633789062,1485.9000244140625,82.69000244140625
2020-03-17,2529.18994140625,7334.77978515625,99.58000183105469,1524.9000244140625,75.91000366210938
2020-03-18,2398.10009765625,6989.83984375,101.16000366210938,1477.300048828125,76.44999694824219
2020-03-19,2409.389892578125,7150.580078125,102.76000213623047,1478.5999755859375,72.0
2020-03-20,2304.919921875,6879.52001953125,102.81999969482422,1484.0,66.04000091552734
2020-03-23,2237.39990234375,6860.669921875,102.48999786376953,1567.0,61.59000015258789
2020-03-24,2447.330078125,7417.85986328125,101.73999786376953,1660.199951171875,61.66999816894531
2020-03-25,2475.56005859375,7384.2998046875,101.05000305175781,1632.300048828125,63.95000076293945
2020-03-26,2630.070068359375,7797.5400390625,99.41999816894531,1650.0999755859375,61.0
2020-03-27,2541.469970703125,7502.3798828125,98.37000274658203,1623.9000244140625,65.54000091552734
